goldman sachs
secteurs économiques
grand patronat
chefs entreprise
coût sortie
régler problèmes
ores déjà
prix pompe
accès soins
permis points
places prison
quelques semaines
valeurs traditions
madame parisot
bout logique
internationale déloyale
euro constant
héroïne nationale
disent administration
education nationale
prise charge
certain montant
dialogue social
monnaie commune
service public
front national
grande bretagne
classe moyenne
choses claires
peser baisser
morale publique
prestations services
doivent connaître
concurrence internationale
millions chômeurs
raison laquelle
certain nombre
train préparer
colère légitime
cherche empêcher
outre étranger
1400 milliards
entreprises allemandes
croissance mondiale
vous direz
sommes arrivés
françois hollande
aller chercher
françois mitterrand
meilleures conditions
traité européen
manière pragmatique
utilisée grand
sens noble
terrible sentiment
exactement inverse
moindre choses
assurer redressement
nombreuses années
république référendaire
1700 milliards
contribution sociale
puisque normalité
véritable honte
quelque sorte
dissuasive immigration
résoudre problème
grande distribution
remettre cause
jusqu smic
prix essence
unes après
changé changé
grandes institutions
salaires nets
zone euro
qatar investit
gens voulaient
peser baisse
chers amis
projet présidentiel
grands groupes
actuellement train
dramatique plan
poser questions
commission européenne
premier tour
moindre coût
tourner vers
parti socialiste
année dernière
jean mélenchon
allez vendre
maîtrise frontières
entreprises cac40
hommes femmes
immigration massive
maintient territoire
cause dumping
attendent logement
poste important
madame nathalie
niveau exigence
cohérence action
européenne 2005
familles françaises
accès logement
emplois emplois
vème république
moment donné
deuxième tour
partir moment
monnaie unique
vous cherchez
chômage masse
justice fiscale
moyennes populaires
grands projets
relancer emploi
protection sociale
ancien président
président sortant
avril dernier
première victime
baisse salaires
toute série
modèle ultralibéral
priorité accès
défense intérêts
centrale européenne
effacement nation
populaires classes
parrainages maires
nationalité française
crise dure
importe lequel
laisser tomber
monde entier
vraie question
allons gagner
toute circonstance
contrat social
saccage social
toutes circonstances
hier soir
chers compatriotes
référendum constitution
assemblée nationale
communauté nationale
augmentation smic
smic augmenter
euros nets
sortie euro
grands patrons
rassemblement patriotes
europe bruxelles
compatriotes outre
françois bayrou
jean françois
électricité train
nicolas sarkozy
priorités politiques
poser question
compter clandestins
protections frontières
grand groupe
dumping social
qatar finance
responsables politiques
euro valait
sauvetage euro
nous croyons
voter socialiste
patriotisme économique
homme femme
créer emploi
sociale importation
abandonner partie
mise œuvre
élection présidentielle
série propositions
milliers clandestins
milliards euros
quelque chose
matière santé
toute journée
puissances argent
avons versé
année 2012
jusqu dernier
petit commerce
monsieur aphatie
monsieur darmon
monsieur poutine
monsieur bourdin
monsieur dalongeville
monsieur wilders
médicale etat
pouvoir achat
premier lieu
prend charge
présidence république
banlieues françaises
leurs traitants
chiffrage plan
