nappes phréatiques
quelque chose
préférence étrangère
amis militants
suis fier
parti socialiste
respecter lois
toute série
social culturel
jusqu présent
extrême gauche
intérêts dette
milliards euros
effort commun
front national
résoudre problème
petite partie
mettre oeuvre
remettre cause
bilan démographique
conseil général
réaction contre
chers amis
familles françaises
certain nombre
peine mort
prix consommation
nous décidons
nombre divorces
scolarisation enfants
mères famille
organisation mondiale
nous discutons
armée afrique
création revenu
mise place
immigration clandestine
immigration peuplement
immigration zéro
marché commun
traités européens
emplois industriels
guerre civile
situation dramatique
hausse prix
forces ordre
raison laquelle
campagne électorale
siècles siècles
solidarité demain
constitution européenne
chiffre officiel
nations européennes
françois bayrou
trois premiers
vous avez
immigration choisie
vote immigrés
merci merci
équité sociale
publics successifs
puissance publique
avril 2002
toute entière
concurrence mondiale
tient compte
lien entre
retour croissance
supprimé frontières
vivent euros
milliards habitants
union européenne
bonne volonté
travailleurs pauvres
respect ordre
chômage masse
dois dire
europe fédérale
cause essentielle
désintégration sociale
grands patrons
peuple souverain
entré millions
assemblée nationale
paysans arrive
nicolas sarkozy
voyez mesdames
parti communiste
aide sociale
moyens financiers
emploi logement
famille traditionnelle
généralisée frontières
valeurs communes
troisième homme
candidat présidence
meilleur candidat
toutes formes
moment donné
nous voulons
toute conception
toute évidence
grands parents
droite gauche
présent avenir
secrétaire état
économie demain
protéger marché
grandes questions
juridique social
monétaire social
vous savez
chers compatriotes
immigration illégale
natalité française
nombre mariages
euros mois
libre choix
préférence nationale
amour patrie
immigration masse
ancien ministre
homme femme
guerre mondiale
leurs propres
président république
faut modifier
vous êtes
millions hectares
avons gagné
tour élection
militants front
protection sociale
marché intérieur
présidence république
demain voulu
important celui
nous devons
premier ministre
économiques sociales
dette publique
lutte contre
sens terme
enfant charge
leurs espérances
monsieur bayrou
gens condamnés
prospérité solidarité
budget défense
amis chers
faveur candidats
économiques sociaux
doivent savoir
faire valoir
pendant cinq
construction européenne
population mondiale
selon laquelle
code travail
ministre socialiste
peuples européens
injustice celle
hommes femmes
mitterrand chirac
économique financier
mise oeuvre
monde entier
hausse pouvoir
mesures prendre
immigrés clandestins
identité nationale
chef parti
nationalité française
millions vivent
nombre actifs
différence entre
monsieur sarkozy
gauche centre
français néerlandais
français souche
faire respecter
année dernière
équilibre social
gouvernement socialiste
dette agricole
faire cesser
campagne présidentielle
éducation nationale
pendant trente
grands partis
salaires travailleurs
faut ajouter
toutes forces
jours premier
millions titulaires
pays émigration
droits sociaux
chiffre population
députés front
pendant période
social mère
classe politique
camarades chers
nous sommes
avons perdu
commission bruxelles
toutes difficultés
économique social
armée terre
sécurité prospérité
viennent chez
économique retour
gens savent
commission européenne
gouverné france
près milliards
grand mouvement
partis politiques
croissance économique
région monde
premier tour
leurs libertés
nous avions
millions rmistes
rmistes millions
guerre algérie
prendre paris
histoire humaine
histoire religion
plan social
nous avons
disparition frontières
sécurité sociale
mettre place
république chef
bayrou royal
pendant longtemps
choix temps
moyenne européenne
budget état
année 2007
femmes hommes
national assemblée
appliquer politique
famille école
politique familiale
folle politique
ministre agriculture
quelques années
oeuvre libre
faut agir
millions habitants
deuxième guerre
peuples nations
france contemporaine
sommes seuls
électeurs front
bruxelles veut
