grosses capitalisations boursières
france aller emprunter
frais doivent faire
redressement économique social
jean marie avait
contre concurrence déloyale
occasion élection présidentielle
plus demandeurs emplois
budget union européenne
assume assez bien
ministre éducation nationale
premier tour élections
nous devons retrouver
marché travail marché
transparence plus totale
semaines quelques mois
millions vivent euros
deuxième tour élections
lutte contre mondialisation
croissance plus faible
retour monnaie nationale
jours premier tour
faire élire députés
projet redressement économique
europe fédérale dont
pendant campagne présidentielle
pour raison simple
chers amis allons
certain nombre propositions
faire cesser concurrence
français rendent compte
choix oubliés contre
quelques semaines quelques
françois hollande président
bureau politique bureau
pendant deuxième guerre
chers amis permettez
candidat élection présidentielle
doivent faire objet
euros intérêts dette
vous voyez mesdames
pense peine mort
messieurs permettez abord
voulu faire hier
nationale emploi logement
échec nicolas sarkozy
égalité entre citoyens
fonction publique etat
entre homme femme
national union patriotique
toute misère monde
nous décidons plus
près milliards euros
toute série gens
chirac sera pire
lorsqu était ministre
tout monde sait
etat fort etat
municipaux front national
hommes femmes gauche
élire président république
français origine étrangère
année après année
père mort france
gauche extrême gauche
suis femme libre
baisse pouvoir achat
campagne électorale européenne
pire jospin crois
certain nombre dirigeants
différents pays européens
avez compris chers
vais donner exemple
milliards euros intérêts
certain nombre gens
