nappes phréatiques
extrême gauche
madame royal
installation jeunes
sociale dres
demi siècle
quelque chose
pouvoir achat
préférence étrangère
ministre intérieur
organisation mondiale
demain rase
prestations sociales
temps partiel
mesdames messieurs
toute entière
géographie histoire
fonction publique
comment oublier
lien entre
front national
valeurs morales
dernières années
avril 2002
conseil général
logement aides
respecter lois
bonne volonté
effort commun
situation dramatique
amis militants
nombre divorces
traité maastricht
chine inde
institution droits
nous décidons
création revenu
troisième homme
lutter contre
constitution européenne
nous discutons
janvier 2007
intérêts dette
super état
bilan démographique
mise place
mettre oeuvre
certain nombre
supprimé frontières
vous avez
réaction contre
milliards euros
prix consommation
siècles siècles
nations européennes
mères famille
chers amis
raison laquelle
libre échange
familles françaises
marché commun
immigration choisie
dois dire
immigration clandestine
parti communiste
solidarité demain
hausse prix
traités européens
trois premiers
tient compte
voyez mesdames
concurrence mondiale
nous avions
vote immigrés
équité sociale
respect ordre
toutes formes
travailleurs pauvres
cause essentielle
emplois industriels
assemblée nationale
chiffre officiel
grands patrons
nicolas sarkozy
toute conception
toute évidence
retour croissance
moyens financiers
publics successifs
ecoutez crois
famille traditionnelle
europe fédérale
enfant charge
puissance publique
paysans arrive
merci merci
peuple souverain
grands parents
désintégration sociale
milliards habitants
emploi logement
vous savez
nombre mariages
vivent euros
entré millions
union européenne
ancien ministre
militants front
euros mois
valeurs communes
droite gauche
natalité française
aide sociale
important celui
amour patrie
juridique social
faut modifier
protéger marché
vous êtes
faveur candidats
population mondiale
lutte contre
doivent savoir
campagne présidentielle
économie demain
économiques sociales
mitterrand chirac
immigration masse
grandes questions
dette publique
social mère
chers compatriotes
immigration illégale
tour élection
préférence nationale
demain voulu
secrétaire état
hommes femmes
code travail
jours premier
président république
armée terre
gauche centre
protection sociale
millions hectares
selon laquelle
pendant trente
monsieur sarkozy
économiques sociaux
ministre socialiste
mesures prendre
injustice celle
nous sommes
monde entier
leurs espérances
construction européenne
éducation nationale
différence entre
marché intérieur
gouvernement socialiste
identité nationale
grands partis
avons perdu
hausse pouvoir
premier tour
faire respecter
mise oeuvre
nationalité française
pendant cinq
monsieur bayrou
faire cesser
faut agir
français souche
français néerlandais
prendre paris
peuples européens
sécurité prospérité
suis candidat
salaires travailleurs
ministre éducation
droits sociaux
électeurs front
millions vivent
amis chers
classe politique
économique social
dette agricole
toutes difficultés
croissance économique
près milliards
mettre place
nous avons
histoire religion
commission européenne
chiffre population
commission bruxelles
économique retour
gouverné france
leurs libertés
premier ministre
bayrou royal
politique familiale
sécurité sociale
ministre agriculture
viennent chez
peuples nations
disparition frontières
grande partie
tiers monde
famille école
budget état
moyenne européenne
année 2007
folle politique
appliquer politique
bien entendu
dans conditions
faire face
partis politiques
veut dire
président 2007
dans années
jeunes gens
politiques économiques
défense nationale
imposé europe
organisation travail
vive front
vive république
sarkozy bayrou
france contemporaine
quelques années
voulu faire
femmes hommes
millions crimes
millions habitants
millions rmistes
rmistes millions
bayrou veut
sociale nouvelle
histoire peuples
bruxelles veut
tout monde
familial national
royal bayrou
respect hommes
oeuvre grand
alors mesdames
décidons plus
plus méritants
plus value
quasiment plus
millions chômeurs
notre pays
immigrés mêmes
toutes nations
leurs parents
europe nord
guerre contre
mener bien
état doivent
hommes politiques
travail effort
grandes entreprises
identité française
national vive
tant autres
plus tard
arracher france
mais écoutez
sarkozy royal
millions retraités
faut savoir
solidarité nationale
vive nation
leurs enfants
allons faire
rien rien
pendant années
bien évidemment
alors crois
soit milliards
messieurs chers
société française
monde voit
plus vite
française chacun
faire bilan
pendant temps
économie française
pays salaires
voilà mesdames
sécurité nationale
nationale emploi
français vivent
bien écoutez
défense sociale
millions travailleurs
vive france
algérie française
bien loin
monde travail
candidats système
travail entreprise
ainsi pouvoir
faut aller
faire vivre
près millions
millions euros
république française
dire vérité
années années
national union
avenir nation
politiciens français
citoyens français
homme politique
plus proche
aujourd hier
hier aujourd
politique agricole
millions électeurs
immigration insécurité
état nation
année après
