écarter candidatures fantaisistes
etat etat fort
baisse salaires français
plus rien offrir
conseil etat nous
nicolas sarkozy ministre
front national aurait
avait certain nombre
pays zone euro
sentent beaucoup plus
gouvernement nicolas sarkozy
plus grand bénéfice
manière plus générale
veut faire gagner
front national parti
problème pouvoir achat
dont espère faire
plus faible monde
quelques semaines plus
candidat front national
marchés financiers bien
idées front national
avons certain nombre
crois quelque chose
certain nombre pays
entre milliards euros
hollande nicolas sarkozy
beaucoup plus facile
