famine peste ravagent
insécurité chômage fiscalisme
forces nationales action
quatre coins monde
parlement européen 2009
plus prodigieux destin
sépare jamais patrie
millions crimes délits
droits enfant autorité
neutralité politique religieuse
chers camarades chers
pouvoir socialo communistes
injuste effort hommes
recherche emploi plusieurs
supprime frontières leurs
principe souveraineté états
rien sera épargné
angleterre proclamé france
majorité socialo communiste
libre circulation hommes
vingt dernières années
impôt revenu travail
chers amis chers
vice premier ministre
millions chômeurs réels
obligation dont fallait
secours libérer france
toute classe politico
ravagent pays paris
toute chose égale
baisse pouvoir achat
venant tiers monde
droits homme citoyen
préférence nationale embauche
avons places prison
secrétaire parti socialiste
sarkozy ségolène royal
jeanne sait lire
campagne électorale législative
plus anglais débarqué
déclaration droits homme
paris 1957 premier
millions emplois industriels
dignité sociale moyen
immigration temporaire travail
temporaire travail immigration
contre traité rome
frontières leurs justes
dizaines millions morts
deuxième guerre mondiale
lutte contre terrorisme
gouvernement socialo communiste
quelques centaines milliers
mesures prises sarkozy
voulez faire club
tour passe passe
pendant quinze jours
quelques dizaines milliers
certes parlement européen
européen 2009 sera
démontrons paris plus
économique retour croissance
entré millions immigrés
connu parti socialiste
travail cause excès
grave crise économique
cinq dernières années
élections présidentielles législatives
prospérité solidarité nationale
accueillir millions immigrés
temps chômage massif
candidat présidence république
suis pupille nation
mise place euro
élections législatives juin
gagner deuxième tour
ancien ministre intérieur
chose égale ailleurs
ajouter constitution française
soixante après guerre
constitution vème république
membre bureau politique
premier ministre villepin
milliards euros 2005
plus tard portes
sarkozy bayrou royal
quatre millions demi
tour élection présidentielle
constitution française article
premier secrétaire parti
campagne électorale présidentielle
proclamé france jeanne
racisme anti français
avons supprimé frontières
marie france stirbois
président conseil constitutionnel
sera pire jospin
école nationale magistrature
élections européennes juin
verra bien verra
trois quatre cinq
immigration étrangère massive
nationale emploi logement
appelle voix disent
mesure intérêt général
contre immigration clandestine
sécurité première libertés
vive nation vive
sarkozy royal bayrou
voté contre traité
tard jeanne sait
certain nombre sujets
réduction temps travail
politiques économiques sociaux
partis gouverné france
enfants petits enfants
amour peuple amour
politiques économiques sociales
candidat élections présidentielles
nation père mort
vive république vive
reste mois vivre
famille école armée
train mettre place
millions travailleurs pauvres
millions demi voix
politique présenter candidature
frein immigrés plus
politique agricole commune
forfaiture quatre plus
jamais entendu parler
mesures prendre paris
référendum constitution européenne
voulu faire hier
première guerre irak
président république sortant
bureau politique unanimité
somme toute assez
soit milliards francs
mettre oeuvre grand
défense sociale nouvelle
millions emplois agricoles
suis près convaincu
candidats deuxième tour
fête travail travailleurs
rocard premier ministre
tour élections présidentielles
deuxième tour élection
candidats présidence république
immigrés tiers monde
libre choix temps
rôle premier plan
constitution européenne 2005
liberté pensée liberté
principe préférence nationale
perdu millions emplois
candidat élection présidentielle
liberté sécurité prospérité
français rassemblement forces
présidence française union
politique socialo communiste
préférence nationale emploi
éducation leurs enfants
élire président république
millions rmistes millions
général otan dire
ainsi pouvoir achat
financière fiscale plus
quelque chose important
français origine étrangère
deuxième liste élections
pendant campagne électorale
plus tard souvenir
français rendent compte
croissance plus faible
campagne électorale européenne
assemblée nationale malgré
voix élections présidentielles
immigration insécurité chômage
première guerre mondiale
devant assemblée nationale
président etats unis
