écarter candidatures fantaisistes
millions français pouvoir
dire nicolas sarkozy
politique front national
liberté peuple français
intérêt france français
plus plus pauvres
faut faire choix
notamment faut bien
faire front national
veut dire faut
plus front national
crois beaucoup français
intérêts france français
plus plus difficile
