nappes phréatiques
droits sociaux
chiffre population
social mère
classe politique
camarades chers
avons perdu
commission bruxelles
toutes difficultés
armée terre
tour élections
sécurité sociale
viennent chez
bayrou royal
gens savent
gouverné france
pendant période
sécurité prospérité
députés front
commission européenne
grand mouvement
partis politiques
région monde
premier tour
économique social
près milliards
leurs libertés
syndicalisme français
millions rmistes
rmistes millions
guerre algérie
prendre paris
mettre place
histoire humaine
histoire religion
quelques années
plan social
droit sang
disparition frontières
pendant longtemps
république chef
choix temps
femmes hommes
année 2007
moyenne européenne
développement entreprises
économique retour
hommes doivent
politique familiale
folle politique
appliquer politique
ministre agriculture
famille école
niveau chômage
oeuvre libre
seul candidat
droit aide
faut agir
croissance économique
millions habitants
peuples nations
électeurs front
france contemporaine
sommes seuls
bruxelles veut
deuxième guerre
royal bayrou
ministre éducation
président 2007
imposé europe
vive front
sociale nouvelle
grande partie
prendre compte
bayrou veut
quelques mois
national assemblée
vais dire
faire face
défense nationale
bien entendu
grandes valeurs
organisation travail
millions crimes
respect hommes
